,opponent_name,levski_goals,opponent_goals,result,coach,hosted,scorers,date,tournament,top_scorer,no_of_penalties
346,Верея (Стара Загора),4,3,win,Георги Дерменджиев,False,"['Давиде Мариани', 'Нуно Реиш', 'Серджиу Буш', 'Станислав Костов', 'Орелиен Нжеитала', 'Валери Божинов', 'Денислав Станчев']",2019-03-16,Първа професионална лига - първи етап,Серджиу Буш,0
347,Ботев (Пловдив),1,1,tie,Георги Дерменджиев,True,"['Давиде Мариани', 'Кристиан Димитров']",2019-03-31,Първа професионална лига - втори етап,Кристиан Димитров,0
348,Черно море (Варна),1,0,win,Георги Дерменджиев,False,['Станислав Костов'],2019-04-07,Първа професионална лига - втори етап,Станислав Костов,0
349,Лудогорец 1945 (Разград),0,2,loss,Георги Дерменджиев,False,,2019-04-14,Първа професионална лига - втори етап,,0
350,ЦСКА-София (София),0,0,tie,Георги Дерменджиев,False,,2019-04-20,Първа професионална лига - втори етап,,0
351,Берое (Стара Загора),1,2,loss,Георги Дерменджиев,True,"['Станислав Костов', 'Карлос Охене', 'Педро Еуженио']",2019-04-26,Първа професионална лига - втори етап,Станислав Костов,0
352,Ботев (Пловдив),3,1,win,Георги Тодоров,False,"['Станислав Костов', 'Тодор Неделев', 'Станислав Иванов', 'Валери Божинов']",2019-05-04,Първа професионална лига - втори етап,Станислав Костов,0
353,Черно море (Варна),5,1,win,Георги Тодоров,True,"['Станислав Костов', 'Паулиньо', 'Давиде Мариани', 'Станислав Костов', 'Станислав Иванов', 'Дани Кики']",2019-05-12,Първа професионална лига - втори етап,Станислав Костов,0
354,Лудогорец 1945 (Разград),1,1,tie,Георги Тодоров,False,"['Космин Моци (д)', 'Живко Миланов']",2019-05-18,Първа професионална лига - втори етап,Живко Миланов,1
355,ЦСКА-София (София),0,2,loss,Георги Тодоров,False,,2019-05-21,Първа професионална лига - втори етап,,0
356,Берое (Стара Загора),1,3,loss,Георги Тодоров,False,"['Рубен Бригидо', 'Мартин Камбуров', 'Валери Божинов', 'Мартин Камбуров']",2019-05-24,Първа професионална лига - втори етап,Мартин Камбуров,0
357,"стадион ""Георги Аспарухов"" в София",1,0,win,Георги Тодоров,True,['Валери Божинов'],2019-05-28,Бараж за Лига Европа,Валери Божинов,0
358,Атлетик (Куклен),6,0,win,Славиша Стоянович,False,"['Атанас Кабов', 'Серджиу Буш', 'Станислав Иванов', 'Янко Гюзлев (аг)', 'Станислав Иванов', 'Филипе Насименто']",2018-09-25,Купа на България,Станислав Иванов,0
359,Вадуц,0,1,loss,Делио Роси,False,,2018-07-11,Лига Европа,,0
360,Вадуц,3,2,win,Делио Роси,True,"['Мохамед Кулибали', 'Серджиу Буш', 'Аймен Белаид', 'Игор Тадич', 'Серджиу Буш', 'Йерсон Кабрал']",2018-07-17,Лига Европа,Серджиу Буш,0
361,Дунав (Русе),4,1,win,Петър Хубчев,False,"['Давиде Мариани', 'Станислав Иванов', 'Ахмед Ахмедов', 'Давиде Мариани', 'Паулиньо']",2019-07-15,Първа професионална лига - първи етап,Давиде Мариани,0
362,Етър ВТ (Велико Търново),0,0,tie,Петър Хубчев,False,,2019-07-21,Първа професионална лига - първи етап,,0
363,Ботев (Пловдив),3,1,win,Петър Хубчев,True,"['Давиде Мариани', 'Еберт', 'Давиде Мариани', 'Иван Горанов']",2019-07-29,Първа професионална лига - първи етап,Давиде Мариани,0
364,Царско село 2015 (София),2,0,win,Петър Хубчев,False,"['Найджъл Роберта', 'Станислав Иванов']",2019-08-05,Първа професионална лига - първи етап,Найджъл Роберта,0
365,Берое (Стара Загора),1,3,loss,Петър Хубчев,True,"['Педро Еуженио', 'Мартин Камбуров', 'Мартин Камбуров', 'Франко Мазурек']",2019-08-10,Първа професионална лига - първи етап,Мартин Камбуров,0
366,Витоша (Бистрица),4,0,win,Петър Хубчев,False,"['Паулиньо', 'Паулиньо', 'Филипе Насименто', 'Найджъл Роберта']",2019-08-17,Първа професионална лига - първи етап,Паулиньо,0
367,Локомотив 1926 (Пловдив),1,0,win,Петър Хубчев,True,['Найджъл Роберта'],2019-08-24,Първа професионална лига - първи етап,Найджъл Роберта,0
368,ЦСКА-София (София),2,2,tie,Петър Хубчев,False,"['Станислав Иванов', 'Найджъл Роберта', 'Евандро', 'Раул Албентоса']",2019-09-01,Първа професионална лига - първи етап,Найджъл Роберта,0
369,Черно море (Варна),3,0,win,Петър Хубчев,True,"['Станислав Иванов', 'Паулиньо', 'Найджъл Роберта']",2019-09-15,Първа професионална лига - първи етап,Найджъл Роберта,0
370,Славия 1913 (София),2,0,win,Петър Хубчев,False,"['Филипе Насименто', 'Станислав Иванов']",2019-09-21,Първа професионална лига - първи етап,Станислав Иванов,0
371,Ботев (Враца),3,1,win,Петър Хубчев,True,"['Холмар Ейолфсон', 'Найджъл Роберта', 'Даниел Генов', 'Паулиньо']",2019-09-28,Първа професионална лига - първи етап,Найджъл Роберта,0
372,Лудогорец 1945 (Разград),0,2,loss,Петър Хубчев,False,,2019-10-06,Първа професионална лига - първи етап,,0
373,Арда 1924 (Кърджали),2,1,win,Петър Хубчев,True,"['Хали Тиам', 'Станислав Иванов', 'Пламен Крумов']",2019-10-19,Първа професионална лига - първи етап,Пламен Крумов,0
374,Дунав (Русе),2,0,win,Петър Хубчев,True,"['Благой Макенджиев (аг)', 'Холмар Ейолфсон']",2019-10-31,Първа професионална лига - първи етап,Холмар Ейолфсон,0
375,Етър ВТ (Велико Търново),3,0,win,Петър Хубчев,True,"['Холмар Ейолфсон', 'Паулиньо', 'Дени Алар']",2019-11-06,Първа професионална лига - първи етап,Дени Алар,0
376,Ботев (Пловдив),0,1,loss,Петър Хубчев,False,,2019-11-10,Първа професионална лига - първи етап,,0
377,Царско село 2015 (София),2,0,win,Петър Хубчев,True,"['Найджъл Роберта', 'Станислав Иванов']",2019-11-24,Първа професионална лига - първи етап,Найджъл Роберта,0
378,Берое (Стара Загора),1,1,tie,Петър Хубчев,False,"['Мартин Камбуров', 'Найджъл Роберта']",2019-11-30,Първа професионална лига - първи етап,Найджъл Роберта,0
379,Витоша (Бистрица),2,0,win,Петър Хубчев,True,"['Паулиньо', 'Станислав Иванов']",2019-12-08,Първа професионална лига - първи етап,Паулиньо,0
380,Локомотив 1926 (Пловдив),0,0,tie,Петър Хубчев,False,,2019-12-15,Първа професионална лига - първи етап,,0
381,ЦСКА-София (София),0,0,tie,Петър Хубчев,False,,2020-02-15,Първа професионална лига - първи етап,,0
382,Черно море (Варна),2,2,tie,Петър Хубчев,False,"['Матиас Курьор', 'Стейн Спийрингс', 'Дени Алар', 'Мартин Минчев']",2020-02-22,Първа професионална лига - първи етап,Дени Алар,0
383,Славия 1913 (София),1,2,loss,Петър Хубчев,True,"['Ивайло Ем.Димитров', 'Найджъл Роберта', 'Ивайло Ем.Димитров']",2020-03-01,Първа професионална лига - първи етап,Ивайло Ем.Димитров,0
384,Ботев (Враца),0,0,tie,Петър Хубчев,False,,2020-03-08,Първа професионална лига - първи етап,,0
385,Лудогорец 1945 (Разград),0,1,loss,Петър Хубчев,True,,2020-06-05,Първа професионална лига - първи етап,,0
386,Арда 1924 (Кърджали),3,1,win,Георги Тодоров,False,"['Паулиньо', 'Радослав Василев', 'Стейн Спийрингс', 'Мартин Д.Петков']",2020-06-13,Първа професионална лига - първи етап,Стейн Спийрингс,0
387,ЦСКА-София (София),3,3,tie,Георги Тодоров,False,"['Янис Каргас', 'Иван Горанов', 'Хали Тиам', 'Греъм Кери (д)', 'Симеон Славчев', 'Али Соу']",2020-06-20,Първа професионална лига - втори етап,Янис Каргас,1
388,Берое (Стара Загора),2,1,win,Георги Тодоров,False,"['Найджъл Роберта', 'Мартин Камбуров', 'Найджъл Роберта']",2020-06-28,Първа професионална лига - втори етап,Найджъл Роберта,0
389,Славия 1913 (София),1,2,loss,Георги Тодоров,True,"['Станислав Иванов', 'Ивайло Димитров', 'Филип Кръстев']",2020-07-04,Първа професионална лига - втори етап,Станислав Иванов,0
390,Лудогорец 1945 (Разград),0,3,loss,Георги Тодоров,False,,2020-07-08,Първа професионална лига - втори етап,,0
391,Локомотив 1926 (Пловдив),1,2,loss,Георги Тодоров,True,"['Насиру Мохамед', 'Доминик Малонга', 'Доминик Малонга']",2020-07-12,Първа професионална лига - втори етап,Доминик Малонга,0
392,Спартак 1918 (Варна),5,1,win,Петър Хубчев,False,"['Франко Мазурек', 'Дени Алар', 'Насиру Мохамед', 'Мартин Д.Петков', 'Мартин Д.Петков', 'Ивайло Русев']",2019-09-25,Купа на България,Мартин Д.Петков,0
393,Черно море (Варна),1,0,win,Петър Хубчев,True,['Мартин Райнов'],2019-12-04,Купа на България,Мартин Райнов,0
394,Локомотив 1926 (Пловдив),0,2,loss,Петър Хубчев,False,,2020-06-09,Купа на България,,0
395,Локомотив 1926 (Пловдив),0,0,tie,Георги Тодоров,True,,2020-06-23,Купа на България,,0
396,Ружомберок,2,0,win,Петър Хубчев,False,"['Давиде Мариани', 'Паулиньо']",2019-07-11,Лига Европа,Паулиньо,0
397,Ружомберок,2,0,win,Петър Хубчев,True,"['Давиде Мариани', 'Дени Алар']",2019-07-18,Лига Европа,Дени Алар,0
398,АЕК (Ларнака),0,3,loss,Петър Хубчев,False,,2019-07-25,Лига Европа,,0
399,АЕК (Ларнака),0,4,loss,Петър Хубчев,True,,2019-08-01,Лига Европа,,0
400,Берое (Стара Загора),0,2,loss,Георги Тодоров,True,,2020-08-10,Първа професионална лига - първи етап,,0
401,Арда 1924 (Кърджали),1,1,tie,Георги Тодоров,False,"['Иван Коконов', 'Паулиньо']",2020-08-15,Първа професионална лига - първи етап,Паулиньо,0
402,Царско село 2015 (София),0,1,loss,Георги Тодоров,True,,2020-08-23,Първа професионална лига - първи етап,,0
403,Монтана 1921 (Монтана),4,0,win,Георги Тодоров,False,"['Стейн Спийрингс', 'Паулиньо', 'Стейн Спийрингс', 'Ивайло Найденов']",2020-08-29,Първа професионална лига - първи етап,Стейн Спийрингс,0
404,Етър ВТ (Велико Търново),2,1,win,Георги Тодоров,True,"['Живко Атанасов', 'Преслав Боруков', 'Борислав Цонев']",2020-09-13,Първа професионална лига - първи етап,Живко Атанасов,0
405,ЦСКА 1948 (София),3,0,win,Георги Тодоров,True,"['Насиру Мохамед', 'Борислав Цонев', 'Борислав Цонев']",2020-09-19,Първа професионална лига - първи етап,Борислав Цонев,0
406,Ботев (Пловдив),1,2,loss,Георги Тодоров,False,"['Атанас Илиев', 'Атанас Илиев', 'Борислав Цонев']",2020-09-26,Първа професионална лига - първи етап,Атанас Илиев,0
407,Ботев (Враца),0,0,tie,Георги Тодоров,True,,2020-10-03,Първа професионална лига - първи етап,,0
408,Славия 1913 (София),0,1,loss,Георги Тодоров,False,,2020-10-18,Първа професионална лига - първи етап,,0
409,Черно море (Варна),1,2,loss,Георги Тодоров,True,"['Мартин Райнов', 'Матиас Курьор', 'Васил Панайотов']",2020-10-24,Първа професионална лига - първи етап,Васил Панайотов,0
410,Лудогорец 1945 (Разград),0,1,loss,Живко Миланов,False,,2020-11-01,Първа професионална лига - първи етап,,0
411,Локомотив 1926 (Пловдив),1,0,win,Славиша Стоянович,True,['Найджъл Роберта'],2020-12-02,Първа професионална лига - първи етап,Найджъл Роберта,0
412,ЦСКА-София (София),0,1,loss,Славиша Стоянович,False,,2020-12-18,Първа професионална лига - първи етап,,0
413,Берое (Стара Загора),1,2,loss,Славиша Стоянович,False,"['Алиюн Фол', 'Паулиньо', 'Алиюн Фол']",2020-12-09,Първа професионална лига - първи етап,Алиюн Фол,0
414,Арда 1924 (Кърджали),1,2,loss,Славиша Стоянович,True,"['Матеус Леони', 'Паулиньо', 'Иван Коконов']",2020-12-05,Първа професионална лига - първи етап,Матеус Леони,0
415,Царско село 2015 (София),2,2,tie,Славиша Стоянович,False,"['Мартин Кавдански', 'Найджъл Роберта', 'Станислав Иванов', 'Реян Даскалов']",2020-12-12,Първа професионална лига - първи етап,Мартин Кавдански,0
416,Монтана 1921 (Монтана),2,0,win,Славиша Стоянович,True,"['Здравко Димитров', 'Стивън Петков']",2021-02-14,Първа професионална лига - първи етап,Стивън Петков,0
417,Етър ВТ (Велико Търново),0,0,tie,Славиша Стоянович,False,,2021-02-21,Първа професионална лига - първи етап,,0
418,ЦСКА 1948 (София),0,0,tie,Славиша Стоянович,False,,2021-02-28,Първа професионална лига - първи етап,,0
419,Ботев (Пловдив),2,2,tie,Славиша Стоянович,True,"['Атанас Илиев', 'Найджъл Роберта', 'Мартин Д.Петков', 'Атанас Илиев']",2021-03-07,Първа професионална лига - първи етап,Атанас Илиев,0
420,Ботев (Враца),3,1,win,Славиша Стоянович,False,"['Костадин Ничев', 'Даниел Генов', 'Найджъл Роберта', 'Живко Атанасов', 'Найджъл Роберта']",2021-03-13,Първа професионална лига - първи етап,Найджъл Роберта,0
421,Славия 1913 (София),1,0,win,Славиша Стоянович,True,['Найджъл Роберта'],2021-03-21,Първа професионална лига - първи етап,Найджъл Роберта,0
422,Черно море (Варна),0,0,tie,Живко Миланов,False,,2021-04-11,Първа професионална лига - първи етап,,0
423,Лудогорец 1945 (Разград),0,3,loss,Живко Миланов,True,,2021-04-18,Първа професионална лига - първи етап,,0
424,Локомотив 1926 (Пловдив),0,1,loss,Живко Миланов,False,,2021-04-21,Първа професионална лига - първи етап,,0
425,ЦСКА-София (София),0,2,loss,Живко Миланов,False,,2021-04-25,Първа професионална лига - първи етап,,0
426,Царско село 2015 (София),2,0,win,Живко Миланов,False,"['Марин Петков', 'Борислав Цонев']",2021-05-05,Първа професионална лига - втори етап,Марин Петков,0
427,Ботев (Пловдив),1,0,win,Живко Миланов,False,['Марин Петков'],2021-05-09,Първа професионална лига - втори етап,Марин Петков,0
428,Черно море (Варна),2,1,win,Живко Миланов,True,"['Илиан Ил.Илиев', 'Начо Монсалве', 'Живко Атанасов']",2021-05-13,Първа професионална лига - втори етап,Илиан Ил.Илиев,0
429,Царско село 2015 (София),1,1,tie,Живко Миланов,True,"['Андерсон Кордейро', 'Борислав Цонев']",2021-05-17,Първа професионална лига - втори етап,Борислав Цонев,0
430,Ботев (Пловдив),1,2,loss,Живко Миланов,True,"['Живко Атанасов', 'Емануел Току', 'Емануел Току']",2021-05-20,Първа професионална лига - втори етап,Емануел Току,0
431,Черно море (Варна),2,1,win,Живко Миланов,False,"['Васил Панайотов', 'Радослав Цонев', 'Валери Божинов']",2021-05-23,Първа професионална лига - втори етап,Радослав Цонев,0
432,Партизан (Червен бряг),4,1,win,Георги Тодоров,False,"['Любомир Иванов', 'Валери Божинов', 'Здравко Димитров', 'Петьо Петков (аг)', 'Мартин Д.Петков']",2020-10-21,Купа на България,Здравко Димитров,0
433,Берое (Стара Загора),3,1,win,Славиша Стоянович,True,"['Мартин Камбуров (д)', 'Найджъл Роберта', 'Найджъл Роберта', 'Найджъл Роберта']",2021-03-03,Купа на България,Найджъл Роберта,1
434,Славия 1913 (София),1,2,loss,Славиша Стоянович,False,"['Питър Макрилос', 'Марин Петков', 'Калоян Кръстев']",2021-03-17,Купа на България,Питър Макрилос,0
435,Славия 1913 (София),1,2,loss,Живко Миланов,True,"['Марин Петков', 'Емил Виячки', 'Калоян Кръстев']",2021-07-24,Първа професионална лига - първи етап,Марин Петков,0
436,Ботев (Враца),0,2,loss,Живко Миланов,False,,2021-07-31,Първа професионална лига - първи етап,,0
437,Арда 1924 (Кърджали),0,2,loss,Живко Миланов,True,,2021-08-08,Първа професионална лига - първи етап,,0
438,Царско село 2015 (София),3,1,win,Живко Миланов,True,"['Васил Шопов', 'Борислав Цонев', 'Мартин Д.Петков', 'Андриан Краев']",2021-08-14,Първа професионална лига - първи етап,Андриан Краев,0
439,Ботев (Пловдив),1,3,loss,Живко Миланов,False,"['Тодор Неделев (д)', 'Симеон Славчев', 'Антоан Бароан', 'Радослав Цонев']",2021-08-20,Първа професионална лига - първи етап,Симеон Славчев,1
440,Берое (Стара Загора),2,1,win,Тодор Симов,True,"['Христофор Хубчев', 'Борислав Цонев', 'Кийлън Лебон']",2021-08-28,Първа професионална лига - първи етап,Кийлън Лебон,0
441,Локомотив 1926 (Пловдив),2,2,tie,Станимир Стоилов,False,"['Бирсент Карагарен (аг)', 'Бирсент Карагарен', 'Георги Миланов', 'Димитър Кр.Илиев']",2021-09-12,Първа професионална лига - първи етап,Димитър Кр.Илиев,0
442,ЦСКА 1948 (София),0,0,tie,Станимир Стоилов,True,,2021-09-18,Първа професионална лига - първи етап,,0
443,ЦСКА-София (София),1,2,loss,Станимир Стоилов,False,"['Георги Миланов', 'Греъм Кери', 'Жорди Кайседо']",2021-09-26,Първа професионална лига - първи етап,Георги Миланов,0
444,Лудогорец 1945 (Разград),2,4,loss,Станимир Стоилов,True,"['Борислав Цонев', 'Доминик Янков', 'Пиерос Сотириу', 'Борислав Цонев', 'Елвис Ману', 'Бърнард Текпетей']",2021-10-03,Първа професионална лига - първи етап,Борислав Цонев,0
445,Локомотив 1929 (София),2,1,win,Станимир Стоилов,False,"['Октавио', 'Здравко Димитров', 'Билал Бари', 'Пламен Крачунов']",2021-10-16,Първа професионална лига - първи етап,Здравко Димитров,0
446,Пирин (Благоевград),3,0,win,Станимир Стоилов,True,"['Марин Петков', 'Марин Петков', 'Билал Бари']",2021-10-23,Първа професионална лига - първи етап,Марин Петков,0
447,Черно море (Варна),0,1,loss,Станимир Стоилов,False,,2021-10-30,Първа професионална лига - първи етап,,0
448,Славия 1913 (София),1,0,win,Станимир Стоилов,False,['Билал Бари'],2021-11-06,Първа професионална лига - първи етап,Билал Бари,0
449,Ботев (Враца),0,0,tie,Станимир Стоилов,True,,2021-11-22,Първа професионална лига - първи етап,,0
450,Арда 1924 (Кърджали),0,0,tie,Станимир Стоилов,False,,2021-11-27,Първа професионална лига - първи етап,,0
451,Царско село 2015 (София),1,0,win,Станимир Стоилов,False,['Билал Бари'],2021-12-01,Първа професионална лига - първи етап,Билал Бари,0
452,Ботев (Пловдив),2,0,win,Станимир Стоилов,True,"['Гьоко Зайков', 'Борислав Цонев']",2021-12-04,Първа професионална лига - първи етап,Гьоко Зайков,0
453,Берое (Стара Загора),1,1,tie,Станимир Стоилов,False,"['Билал Бари', 'Алиюн Фол']",2021-12-12,Първа професионална лига - първи етап,Алиюн Фол,0
454,Локомотив 1926 (Пловдив),2,1,win,Станимир Стоилов,True,"['Андриан Краев', 'Милош Петрович', 'Филип Кръстев']",2022-02-19,Първа професионална лига - първи етап,Милош Петрович,0
455,ЦСКА 1948 (София),2,0,win,Станимир Стоилов,False,"['Димитър Костадинов', 'Велтон Фелипе']",2022-02-26,Първа професионална лига - първи етап,Велтон Фелипе,0
456,Марек 1915 (Дупница),2,0,win,Станимир Стоилов,False,"['Димитър Костадинов', 'Димитър Костадинов']",2021-09-22,Купа на България,Димитър Костадинов,0
457,Септември (Симитли),7,0,win,Станимир Стоилов,True,"['Марин Петков', 'Билал Бари', 'Билал Бари', 'Георги Миланов', 'Билал Бари', 'Борислав Цонев', 'Димитър Костадинов']",2021-10-26,Купа на България,Билал Бари,0
458,Септември (София),2,0,win,Станимир Стоилов,True,"['Димитър Костадинов', 'Георги Миланов']",2022-03-02,Купа на България,Георги Миланов,0
