,opponent_name,levski_goals,opponent_goals,result,coach,hosted,scorers,date,tournament,top_scorer,no_of_penalties
82,Пирин (Гоце Делчев),2,0,win,Илиан Илиев,True,"['Базиле де Карвальо', 'Илиян Йорданов']",2012-09-22,"""А"" Футболна група",Илиян Йорданов,0
83,Локомотив (София),1,1,tie,Илиан Илиев,False,"['Базиле де Карвальо', 'Антонио Павлов']",2012-09-29,"""А"" Футболна група",Антонио Павлов,0
84,Литекс (Ловеч),2,1,win,Илиан Илиев,True,"['Базиле де Карвальо', 'Георги Миланов', 'Симеон Райков']",2012-10-05,"""А"" Футболна група",Георги Миланов,0
85,ЦСКА (София),0,1,loss,Илиан Илиев,False,,2012-10-20,"""А"" Футболна група",,0
86,Локомотив 1926 (Пловдив),2,1,win,Илиан Илиев,True,"['Ромен Ели', 'Жоао Силва', 'Рангел Абушев']",2012-10-27,"""А"" Футболна група",Рангел Абушев,0
87,Миньор (Перник),4,0,win,Илиан Илиев,False,"['Сабри Бумелаха (аг)', 'Базиле де Карвальо', 'Владимир Гаджев', 'Кристовао Рамос']",2012-11-04,"""А"" Футболна група",Кристовао Рамос,0
88,Ботев (Враца),2,0,win,Илиан Илиев,True,"['Марсиньо', 'Дъстли Мюлдер']",2012-11-10,"""А"" Футболна група",Дъстли Мюлдер,0
89,Лудогорец 1945 (Разград),1,2,loss,Илиан Илиев,False,"['Станислав Генчев', 'Илиян Йорданов', 'Станислав Генчев']",2012-11-18,"""А"" Футболна група",Станислав Генчев,0
90,Етър 1924 (Велико Търново),7,1,win,Илиан Илиев,True,"['Базиле де Карвальо', 'Базиле де Карвальо', 'Базиле де Карвальо', 'Антонио Вутов', 'Базиле де Карвальо', 'Ивайло Русев (аг)', 'Нерилон Нери', 'Илиян Йорданов']",2012-11-28,"""А"" Футболна група",Базиле де Карвальо,0
91,Славия 1913 (София),3,1,win,Илиан Илиев,False,"['Даниел Димов', 'Здравко Лазаров', 'Жоао Силва', 'Жоао Силва']",2012-12-08,"""А"" Футболна група",Жоао Силва,0
92,Черноморец Бургас (Бургас),2,0,win,Николай Митов,False,"['Базиле де Карвальо', 'Базиле де Карвальо']",2013-03-03,"""А"" Футболна група",Базиле де Карвальо,0
93,Ботев (Пловдив),0,2,loss,Илиан Илиев,False,,2013-03-09,"""А"" Футболна група",,0
94,Монтана 1921 (Монтана),0,0,tie,Илиан Илиев,True,,2013-03-17,"""А"" Футболна група",,0
95,Черно море (Варна),1,1,tie,Илиан Илиев,False,"['Георги Божилов', 'Рене Михелич']",2013-03-30,"""А"" Футболна група",Рене Михелич,0
96,Берое (Стара Загора),2,0,win,Илиан Илиев,True,"['Илиян Йорданов', 'Базиле де Карвальо']",2013-04-07,"""А"" Футболна група",Илиян Йорданов,0
97,Пирин (Гоце Делчев),1,1,tie,Илиан Илиев,False,"['Ромен Ели', 'Любомир Витанов (д)']",2013-04-10,"""А"" Футболна група",Ромен Ели,1
98,Локомотив (София),2,1,win,Николай Митов,True,"['Базиле де Карвальо', 'Крум Бибишков', 'Жоао Силва']",2013-04-13,"""А"" Футболна група",Крум Бибишков,0
99,Литекс (Ловеч),2,1,win,Николай Митов,False,"['Гари Родригес', 'Христо Йовов', 'Илия Миланов', 'Жоао Силва']",2013-04-20,"""А"" Футболна група",Жоао Силва,0
100,ЦСКА (София),2,1,win,Николай Митов,False,"['Христо Йовов', 'Марсиньо', 'Жоао Силва']",2013-04-27,"""А"" Футболна група",Жоао Силва,0
101,Локомотив 1926 (Пловдив),1,0,win,Николай Митов,False,['Кристовао Рамос'],2013-05-02,"""А"" Футболна група",Кристовао Рамос,0
102,Миньор (Перник),2,1,win,Николай Митов,True,"['Жоао Силва', 'Томислав Павлов', 'Гари Родригес']",2013-05-06,"""А"" Футболна група",Жоао Силва,0
103,Ботев (Враца),3,1,win,Николай Митов,False,"['Андрей Атанасов', 'Базиле де Карвальо', 'Гари Родригес', 'Жоао Силва']",2013-05-10,"""А"" Футболна група",Жоао Силва,0
104,Лудогорец 1945 (Разград),1,0,win,Николай Митов,True,['Мичел Бургзорг (аг)'],2013-05-18,"""А"" Футболна група",Мичел Бургзорг (аг),0
105,Славия 1913 (София),1,1,tie,Николай Митов,True,"['Базиле де Карвальо', 'Димитър Везалов']",2013-05-25,"""А"" Футболна група",Базиле де Карвальо,0
106,Пирин 2002 (Разлог),3,0,win,Илиан Илиев,True,"['Кристовао Рамос', 'Жоао Силва', 'Христо Йовов']",2012-10-31,Купа на България,Жоао Силва,0
107,Пирин 2002 (Разлог),1,0,win,Илиан Илиев,False,['Жоао Силва'],2012-11-24,Купа на България,Жоао Силва,0
108,Черно море (Варна),4,0,win,Илиан Илиев,True,"['Дъстли Мюлдер', 'Дъстли Мюлдер', 'Жоао Силва', 'Жоао Силва']",2012-12-02,Купа на България,Жоао Силва,0
109,Черно море (Варна),0,1,loss,Илиан Илиев,False,,2012-12-15,Купа на България,,0
